Torrent downloaded from http://www.d2.vu



-----------------------------------------------------
Initialization
-------------------------------------------------------------------------------------
 Step |   Time |      Value |   max_features |   min_samples_split |   n_estimators | 
    1 | 24m37s |    0.58274 |         0.9972 |              3.3985 |       291.5346 | 
    2 | 09m35s |    0.58730 |         0.3909 |             11.3898 |       308.1818 | 
    3 | 49m42s |    0.58029 |         0.8128 |             11.7671 |       331.1504 | 
    4 | 86m12s |    0.57507 |         0.9782 |             14.4683 |       396.5867 | 
    5 | 35m02s |    0.58157 |         0.7937 |             11.2508 |       324.0087 | 
Bayesian Optimization
-------------------------------------------------------------------------------------
 Step |   Time |      Value |   max_features |   min_samples_split |   n_estimators | 
    6 | 02m46s |    0.57712 |         0.1000 |             15.0000 |       250.0000 | 
    7 | 03m19s |    0.59713 |         0.1000 |              2.0000 |       345.7634 | 
    8 | 04m13s |    0.58771 |         0.1000 |              6.1703 |       399.5070 | 
    9 | 03m29s |    0.59525 |         0.1000 |              2.0000 |       296.4272 | 
   10 | 11m44s |    0.59389 |         0.4089 |              2.0000 |       333.0908 | 
   11 | 03m34s |    0.58940 |         0.1000 |              4.4126 |       327.7163 | 
   12 | 03m47s |    0.59643 |         0.1000 |              2.0000 |       400.0000 | 
   13 | 03m31s |    0.58267 |         0.1000 |             10.7200 |       400.0000 | 
   14 | 08m36s |    0.59565 |         0.2821 |              2.0000 |       400.0000 | 
   15 | 04m58s |    0.59339 |         0.1869 |              2.0000 |       353.9669 | 
   16 | 18m23s |    0.59270 |         0.6272 |              2.0000 |       400.0000 | 
   17 | 14m30s |    0.57975 |         0.5113 |             15.0000 |       400.0000 | 
   18 | 02m36s |    0.59484 |         0.1000 |              2.0000 |       250.0000 | 
   19 | 11m33s |    0.58978 |         0.6156 |              2.0000 |       250.0000 | 
   20 | 10m12s |    0.57808 |         0.5758 |             15.0000 |       250.0000 | 
   21 | 02m18s |    0.58899 |         0.1000 |              7.2803 |       250.0000 | 
   22 | 15m11s |    0.59192 |         0.4835 |              5.9931 |       400.0000 | 
   23 | 07m00s |    0.58597 |         0.4791 |              6.9988 |       250.0000 | 
   24 | 10m56s |    0.59259 |         0.4604 |              2.0000 |       400.0000 | 
   25 | 14m48s |    0.59088 |         0.6579 |              2.0000 |       329.4888 | 
   26 | 41m39s |    0.58784 |         0.9472 |              2.0000 |       400.0000 | 
   27 | 10m17s |    0.59370 |         0.3673 |              2.0000 |       280.1661 | 
   28 | 14m51s |    0.58858 |         0.5246 |              6.1071 |       331.1720 | 
   29 | 27m17s |    0.58836 |         0.7725 |              6.1134 |       400.0000 | 
   30 | 21m16s |    0.57950 |         0.9990 |             10.6614 |       250.0000 | 
-----------------------------------------------------

